iter	RMSE
290	2127832.2992291	2126241.1429292	2124957.6429293	2124609.3629294	2122659.8929295	2119567.1296296	2118565.297	297	2116165.298	298	2115980.299	299	2114249.300	300	2112584301	2301	2110978302	2302	2110720303	2303	2110255304	2304	2108929305	2305	2108536306	2306	2108250307	2307	2106253308	2308	2105859309	2309	2104667310	2310	2104057311	2311	2103233.101
312	2101600.648
313	2101019.261
314	2099328.008
315	2099022.833
316	2098810.941
317	2098355.622
318	2095884.088
319	2094474.351
320	2092780.176
321	2091719.37
322	2089451.739
323	2087674.864
324	2086483.104
325	2086167.234
326	2084665.57
327	2083083.694
328	2081775.374
329	2080149.907
330	2080061.153
331	2078493.31
332	2077470.947
333	2076418.524
334	2074632.185
335	2073392.861
336	2072073.763
337	2070935.977
338	2069839.362
339	2069755.099
340	2067692.386
341	2065126.829
342	2063998.93
343	2062336.736
344	2062044.441
345	2060848.928
346	2058656.368
347	2057445.733
348	2056386.478
349	2054993.391
350	2053518.93
351	2051689.97
352	2050775.737
353	2049952.874
354	2049180.593
355	2048131.979
356	2046825.747
357	2046555.068
358	2045283.398
359	2043392.882
360	2041798.294
361	2040564.986
362	2039603.527
363	2037698.297
364	2036586.865
365	2034869.275
366	2033291.585
367	2031441.419
368	2030047.003
369	2029263.285
370	2027573.21
371	2026649.379
372	2025631.946
373	2024445.361
374	2022736.146
375	2021464.754
376	2021214.03
377	2020476.115
378	2019751.697
379	2017458.819
380	2016708.366
381	2015133.231
382	2013774.688
383	2012975.454
384	2011557.203
385	2010492.274
386	2009972.411
387	2008493.455
388	2006688.924
389	2005188.228
390	2004110.454
391	2003019.343
392	2001468.375
393	1999933.154
394	1998866.25
395	1997074.477
396	1996283.7
397	1995459.957
398	1994821.99
399	1993873.303
400	1992550.896
401	1991886.697
402	1991016.105
403	1990844.092
404	1990702.75
405	1988663.473
406	1987907.57
407	1987768.212
408	1987038.426
409	1986173.466
410	1985066.989
411	1983858.008
412	1983263.553
413	1982138.127
414	1981807.392
415	1981484.507
416	1980717.899
417	1980223.923
418	1979054.513
419	1978310.572
420	1976814.579
421	1975309.296
422	1974103.523
423	1973208.365
424	1971776.814
425	1970708.505
426	1970231.599
427	1969231.32
428	1967614.07
429	1966424.062
430	1964376.686
431	1963929.109
432	1962292.039
433	1961495.152
434	1960053.56
435	1958299.224
436	1956867.823
437	1955833.134
438	1954965.668
439	1954515.442
440	1953111.658
441	1951901.4674442	1951203.1694443	1950492.2244444	1949437.4444445	1949268.6644446	1949047.54
447	1947586.638
448	1946616.777
449	1945512.435
450	1945389.911
451	1944625.072
452	1943599.194
453	1943398.426
454	1942561.918
455	1941884.73
456	1940651.346
457	1939273.817
458	1938046.782
459	1937258.581
460	1936973.155
461	1935974.217
462	1934548.338
463	1933518.67
464	1932375.184
465	1931443.032
466	1930626.278
467	1930066.467
468	1928994.903
469	1927418.997
470	1925994.47
471	1924039.804
472	1922737.624
473	1922027.921
474	1921277.146
475	1921186.374
476	1920686.065
477	1919636.128
478	1918532.724
479	1917647.524
480	1915951.46
481	1914541.759
482	1913863.254
483	1913268.216
484	1912632.763
485	1912398.823
486	1911262.082
487	1909647.768
488	1908795.238
489	1908027.207
490	1907492.683
491	1906768.625
492	1905753.797
493	1904648.118
494	1903734.493
495	1903026.346
496	1902344.03
497	1900976.269
498	1900067.94
499	1899607.51
500	1899524.583
501	1898577.273
502	1896642.709
503	1895871.641
504	1895065.364
505	1894886.828
506	1894067.365
507	1892964.64
508	1892883.586
509	1891756.66
510	1890552.653
511	1889189.641
512	1888566.355
513	1887521.42
514	1886302.547
515	1885068.294
516	1883770.193
517	1883026.992
518	1882941.67
519	1882354.223
520	1881514.107
521	1880079.951
522	1879740.926
523	1878531.384
524	1877426.87
525	1876528.378
526	1875399.837
527	1874344.348
528	1873731.288
529	1872290.5
530	1870976.867
531	1869915.897
532	1868684.267
533	1867918.709
534	1867293.042
535	1867250.394
536	1866395.637
537	1865800.524
538	1865097.152
539	1865056.078
540	1864976.716
541	1864260.816
542	1863385.166
543	1862365.053
544	1861597.436
545	1861094.59
546	1860087.002
547	1858910.669
548	1857635.847
549	1856307.171
550	1855587.13
551	1854871.942
552	1853819.561
553	1853212.938
554	1852365.673
555	1851650.139
556	1850820.1
557	1850250.07
558	1849981.609
559	1848665.66
560	1847709.111
561	1846819.082
562	1846164.523
563	1845050.413
564	1844094.103
565	1843804.292
566	1843253.982
567	1842640.08
568	1841884.853
569	1841072.339
570	1840873.263
571	1840272.822
572	1839643.183
573	1838836.969
574	1838148.2
575	1837375.756
576	1836837.648
577	1836166.207
578	1835905.274
579	1835149.255
580	1835113.656
581	1834188.778
582	1833152.526
583	1831590.335
584	1830229.269
585	1829717.487
586	1829463.443
587	1828562.803
588	1828059.827
589	1826941.462
590	1825941.378
591	1825173.11
592	1824410.089
593	1823619.01
594	1822699.576
595	1821911.122
596	1820551.909
597	1820039.544
598	1819162.177
599	1819127.575
600	1817840.362
601	1817006.136
602	1815918.951
603	1814817.71
604	1813908.873
605	1813880.707
606	1813208.994
607	1812159.546
608	1811619.545
609	1810631.064
610	1810097.082
611	1809100.905
612	1808212.265
613	1807101.21
614	1806347.252
615	1805555.86
616	1804812.331
617	1804041.148
618	1803043.031
619	1802451.353
620	1801664.477
621	1801268.295
622	1800737.65
623	1800279.711
624	1800170.739
625	1800107.753
626	1799344.036
627	1798372.507
628	1797210.51
629	1796481.476
630	1795149.921
631	1794712.693
632	1794012.934
633	1793958.29
634	1793477.963
635	1793108.719
636	1792320.203
637	1791512.398
638	1791114.539
639	1790224.674
640	1789574.773
641	1788944.471
642	1788349.273
643	1788001.992
644	1787391.069
645	1786769.711
646	1785376.649
647	1784511.569
648	1783715.39
649	1782984.13
650	1782370.452
651	1781889.328
652	1781372.955
653	1780979.411
654	1779842.05
655	1779406.503
656	1778799.61
657	1777948.634
658	1777823.59
659	1777144.562
660	1776485.222
661	1775844.906
662	1774911.645
663	1774660.532
664	1773884.309
665	1772926.732
666	1772228.407
667	1771588.263
668	1770837.866
669	1770570.326
670	1770397.064
671	1769729.841
672	1769518.526
673	1768784.385
674	1768406.942
675	1767513.16
676	1767359.882
677	1766428.831
678	1765292.192
679	1764904.206
680	1764858.989
681	1763531.507
682	1763193.076
683	1762499.473
684	1761282.009
685	1760892.461
686	1759711.003
687	1759391.726
688	1758981.079
689	1758160.059
690	1757633.069
691	1756854.859
692	1756425.478
693	1755482.836
694	1754878.442
695	1753608.787
696	1752973.749
697	1752401.627
698	1751872.394
699	1751385.464
700	1750583.3
701	1750423.891
702	1749241.453
703	1748444.1
704	1747667.457
705	1746924.601
706	1746260.914
707	1745712.248
708	1744707.47
709	1744639.072
710	1744360.559
711	1743239.511
712	1742155.814
713	1741773.843
714	1740991.87
715	1740336.666
716	1739435.417
717	1739373.777
718	1738946.193
719	1738768.594
720	1738180.864
721	1737529.247
722	1736034.399
723	1734845.484
724	1733926.842
725	1733191.475
726	1732106.33
727	1731785.047
728	1731282.526
729	1729755.774
730	1729221.716
731	1728679.257
732	1727637.612
733	1726665.616
734	1726388.133
735	1725755.785
736	1724692.638
737	1724010.515
738	1723344.934
739	1722655.066
740	1722262.136
741	1721192.676
742	1720428.061
743	1719527.44
744	1718598.841
745	1717976.559
746	1716993.378
747	1716488.85
748	1715998.581
749	1715094.255
750	1714554.271
751	1713994.967
752	1713097.339
753	1712565.606
754	1712008.706
755	1711152.978
756	1710511.97
757	1709509.134
758	1709481.933
759	1709130.583
760	1708586.981
761	1707430.435
762	1707335.905
763	1706716.134
764	1705909.379
765	1704709.003
766	1704372.698
767	1703397.115
768	1702868.87
769	1701989.906
770	1701285.811
771	1701152.564
772	1700380.35
773	1699907.839
774	1698912.407
775	1698832.072
776	1697353.6
777	1696662.211
778	1696062.107
779	1694948.682
780	1694826.118
781	1694126.876
782	1693534.73
783	1692505.595
784	1691869.709
785	1691829.948
786	1691162.519
787	1690367.987
788	1689438.231
789	1688882.65
790	1688238.836
791	1686950.717
792	1686304.75
793	1685613.009
794	1684707.237
795	1683961.846
796	1683120.714
797	1682460.439
798	1682131.431
799	1680747.71
800	1679970.738
801	1679218.387
802	1678518.184
803	1677512.63
804	1676578.399
805	1675970.052
806	1675371.852
807	1674989.864
808	1674315.024
809	1674001.393
810	1673416.301
811	1672931.052
812	1672318.688
813	1671794.875
814	1671180.825
815	1670878.382
816	1670420.269
817	1669877.475
818	1669418.234
819	1669002.899
820	1668976.053
821	1668411.261
822	1667630.436
823	1667026.484
824	1666351.289
825	1665902.506
826	1665316.54
827	1664426.171
828	1663487.25
829	1663047.723
830	1662564.678
831	1661150.511
832	1660147.591
833	1659074.68
834	1658295.614
835	1657870.222
836	1657416.135
837	1656987.216
838	1656137.919
839	1655882.56
840	1655144.148
841	1654585.431
842	1653999.003
843	1653344.407
844	1653318.372
845	1652684.198
846	1651854.68
847	1650853.287
848	1650218.557
849	1649669.176
850	1648882.58
851	1648225.512
852	1647973.802
853	1647587.753
854	1646931.586
855	1646206.877
856	1645270.425
857	1644899.081
858	1644445.805
859	1643947.506
860	1643139.361
861	1642661.572
862	1642025.513
863	1641187.642
864	1640347.425
865	1639480.907
866	1638897.245
867	1638258.165
868	1637468.688
869	1636709.612
870	1636253.57
871	1635463.505
872	1634794.55
873	1634066.244
874	1633389.499
875	1632986.65
876	1632666.705
877	1632201.683
878	1631852.995
879	1631348.773
880	1630679.461
881	1630248.169
882	1629824.387
883	1629493.813
884	1628819.272
885	1628149.891
886	1627662.657
887	1627143.39
888	1626408.434
889	1625674.002
890	1625095.986
891	1625052.371
892	1624501.087
893	1623597.745
894	1622648.115
895	1621542.974
896	1621181.319
897	1620989.499
898	1620030.171
899	1619454.127
900	1618951.84
901	1618457.987
902	1618415.755
903	1617894.892
904	1617154.84
905	1616531.402
906	1616018.424
907	1615435.97
908	1615045.485
909	1614575.806
910	1613846.965
911	1613082.83
912	1612287.477
913	1611328.553
914	1610576.369
915	1609508.51
916	1608872.754
917	1608435.121
918	1607468.626
919	1606920.686
920	1606290.023
921	1605871.281
922	1605214.625
923	1604729.035
924	1604318.854
925	1604224.549
926	1603595.818
927	1602821.834
928	1602575.963
929	1602134.982
930	1601470.532
931	1600780.709
932	1599960.643
933	1599418.933
934	1598886.214
935	1598025.462
936	1597456.949
937	1596988.807
938	1596618.607
939	1595877.767
940	1595381.387
941	1594760.177
942	1594456.888
943	1594114.069
944	1593760.099
945	1593255.649
946	1592866.064
947	1592406.205
948	1592294.764
949	1591524.806
950	1591341.617
951	1590766.702
952	1590110.409
953	1589498.619
954	1589159.697
955	1588554.585
956	1587698.544
957	1586886.539
958	1586598.349
959	1586496.017
960	1586158.407
961	1585523.849
962	1584748.964
963	1584232.863
964	1583637.86
965	1582971.769
966	1582337.945
967	1581600.008
968	1581200.855
969	1580914.993
970	1580466.229
971	1579701.583
972	1579647.956
973	1578777.512
974	1578299.505
975	1577837.026
976	1577610.418
977	1576779.085
978	1575988.154
979	1575509.994
980	1575310.055
981	1574511.424
982	1573947.15
983	1573558.972
984	1572924.182
985	1572259.205
986	1571889.049
987	1571539.272
988	1570926.117
989	1570268.107
990	1570213.992
991	1569535.624
992	1568972.457
993	1568556.256
994	1568134.897
995	1567307.845
996	1566860.056
997	1566508.47
998	1565947.786
999	1565912.65
225.63
