iter	Passed	Remaining
181	12488	56129
182	12552	56041
183	12624	55986
184	12697	55939
185	12760	55842
186	12824	55756
187	12885	55654
188	12950	55571
189	13025	55528
190	13086	55428
191	13147	55330
192	13199	55191
193	13276	55157
194	13351	55118
195	13405	54989
196	13469	54903
197	13542	54854
198	13612	54792
199	13684	54739
200	13760	54700
201	13840	54675
202	13906	54598
203	13959	54469
204	14017	54359
205	14084	54287
206	14147	54198
207	14214	54122
208	14292	54094
209	14365	54041
210	14429	53957
211	14493	53870
212	14579	53870
213	14653	53821
214	14721	53750
215	14787	53671
216	14847	53574
217	14945	53610
218	15041	53640
219	15108	53565
220	15174	53487
221	15242	53417
222	15306	53333
223	15376	53267
224	15432	53157
225	15512	53127
226	15582	53063
227	15652	52998
228	15717	52916
229	15800	52898
230	15867	52822
231	15920	52703
232	16001	52673
233	16077	52628
234	16156	52593
235	16227	52532
236	16294	52460
237	16354	52362
238	16430	52317
239	16503	52262
240	16567	52176
241	16625	52075
242	16700	52026
243	16780	51993
244	16850	51926
245	16929	51890
246	16995	51811
247	17061	51735
248	17136	51686
249	17206	51619
250	17290	51597
251	17362	51536
252	17435	51479
253	17494	51382
254	17573	51342
255	17640	51266
256	17717	51221
257	17772	51113
258	17859	51094
259	17904	50957
260	17961	50856
261	18019	50756
262	18089	50691
263	18170	50656
264	18237	50582
265	18307	50517
266	18388	50482
267	18453	50401
268	18506	50290
269	18572	50213
270	18659	50194
271	18716	50093
272	18791	50041
273	18858	49968
274	18927	49899
275	18991	49817
276	19059	49747
277	19140	49710
278	19211	49647
279	19284	49588
280	19356	49526
281	19429	49470
282	19495	49394
283	19561	49317
284	19622	49229
285	19692	49161
286	19758	49086
287	19831	49028
288	19902	48963
289	19981	48919
290	20049	48849
291	20120	48786
292	20187	48712
293	20254	48639
294	20327	48580
295	20396	48510
296	20468	48449
297	20544	48395
298	20614	48330
299	20689	48275
300	20759	48208
301	20839	48165
302	20892	48059
303	20960	47989
304	21032	47927
305	21099	47853
306	21165	47776
307	21232	47703
308	21308	47651
309	21386	47603
310	21467	47558
311	21550	47520
312	21631	47478
313	21698	47405
314	21755	47309
315	21833	47259
316	21899	47183
317	21968	47114
318	22035	47040
319	22107	46978
320	22177	46911
321	22254	46859
322	22321	46785
323	22398	46732
324	22464	46657
325	22546	46615
326	22614	46543
327	22691	46489
328	22757	46413
329	22822	46337
330	22887	46259
331	22951	46179
332	23027	46123
333	23093	46049
334	23166	45987
335	23262	45970
336	23335	45909
337	23412	45855
338	23476	45775
339	23547	45709
340	23629	45665
341	23701	45601
342	23776	45542
343	23851	45485
344	23915	45404
345	23997	45358
346	24062	45282
347	24141	45231
348	24224	45186
349	24305	45138
350	24381	45080
351	24462	45032
352	24541	44981
353	24620	44928
354	24686	44853
355	24779	44826
356	24834	44729
357	24902	44658
358	24963	44573
359	25022	44485
360	25084	44401
361	25157	44339
362	25224	44265
363	25297	44201
364	25361	44122
365	25430	44051
366	25503	43988
367	25567	43909
368	25657	43875
369	25729	43809
370	25810	43759
371	25896	43718
372	25969	43653
373	26032	43573
374	26117	43528
375	26189	43464
376	26250	43378
377	26322	43314
378	26399	43256
379	26473	43193
380	26549	43134
381	26625	43074
382	26698	43010
383	26781	42962
384	26863	42912
385	26938	42850
386	27006	42778
387	27095	42737
388	27179	42690
389	27247	42617
390	27322	42555
391	27405	42505
392	27492	42463
393	27555	42381
394	27612	42292
395	27688	42231
396	27765	42172
397	27829	42094
398	27908	42036
399	27991	41987
400	28070	41930
401	28152	41879
402	28225	41812
403	28295	41743
404	28342	41638
405	28411	41568
406	28487	41506
407	28562	41443
408	28639	41383
409	28722	41332
410	28796	41268
411	28866	41197
412	28945	41139
413	29026	41085
414	29106	41029
415	29184	40970
416	29271	40923
417	29354	40871
418	29420	40795
419	29509	40750
420	29578	40678
421	29651	40613
422	29723	40544
423	29817	40507
424	29885	40433
425	29951	40357
426	30030	40299
427	30126	40261
428	30199	40194
429	30267	40122
430	30352	40070
431	30427	40007
432	30499	39938
433	30559	39853
434	30625	39778
435	30721	39741
436	30784	39661
437	30866	39605
438	30941	39540
439	31016	39474
440	31084	39402
441	31163	39342
442	31243	39283
443	31327	39229
444	31388	39147
445	31448	39063
446	31560	39045
447	31644	38990
448	31718	38923
449	31807	38875
450	31888	38817
451	31971	38762
452	32051	38702
453	32117	38625
454	32197	38566
455	32269	38496
456	32347	38434
457	32425	38372
458	32497	38302
459	32571	38235
460	32643	38166
461	32720	38103
462	32794	38035
463	32861	37960
464	32935	37893
465	33014	37832
466	33084	37759
467	33154	37688
468	33243	37637
469	33317	37570
470	33391	37503
471	33465	37436
472	33551	37381
473	33641	37332
474	33716	37265
475	33794	37202
476	33878	37145
477	33967	37093
478	34053	37039
479	34128	36972
480	34210	36912
481	34281	36841
482	34355	36774
483	34432	36708
484	34506	36640
485	34573	36565
486	34654	36504
487	34731	36439
488	34813	36380
489	34896	36320
490	34972	36254
491	35042	36182
492	35104	36101
493	35194	36049
494	35264	35977
495	35340	35910
496	35418	35846
497	35499	35784
498	35581	35724
499	35660	35660
500	35729	35587
501	35807	35521
502	35882	35454
503	35958	35387
504	36027	35314
505	36100	35244
506	36184	35185
507	36253	35112
508	36321	35036
509	36396	34969
510	36474	34903
511	36548	34835
512	36623	34767
513	36700	34701
514	36789	34646
515	36861	34575
516	36951	34521
517	37023	34450
518	37099	34382
519	37170	34310
520	37242	34240
521	37320	34174
522	37391	34102
523	37472	34039
524	37549	33973
525	37620	33901
526	37690	33828
527	37786	33778
528	37867	33715
529	37945	33650
530	38024	33584
531	38094	33511
532	38180	33452
533	38245	33375
534	38326	33311
535	38408	33249
536	38494	33189
537	38570	33121
538	38659	33064
539	38717	32981
540	38790	32911
541	38870	32846
542	38942	32774
543	39018	32706
544	39094	32638
545	39176	32575
546	39244	32500
547	39326	32437
548	39401	32367
549	39486	32306
550	39561	32237
551	39643	32174
552	39729	32113
553	39809	32048
554	39883	31979
555	39952	31904
556	40032	31839
557	40113	31774
558	40190	31706
559	40284	31651
560	40359	31582
561	40432	31511
562	40511	31444
563	40591	31379
564	40680	31320
565	40753	31249
566	40806	31162
567	40893	31102
568	40960	31026
569	41041	30961
570	41114	30889
571	41170	30805
572	41238	30730
573	41308	30657
574	41372	30579
575	41451	30512
576	41539	30452
577	41611	30380
578	41676	30303
579	41753	30235
580	41822	30161
581	41896	30090
582	41979	30026
583	42061	29961
584	42147	29899
585	42225	29831
586	42289	29753
587	42361	29681
588	42437	29612
589	42524	29550
590	42605	29485
591	42679	29414
592	42753	29343
593	42841	29282
594	42910	29207
595	42981	29135
596	43065	29071
597	43143	29002
598	43222	28935
599	43293	28862
600	43373	28795
601	43451	28726
602	43528	28657
603	43611	28593
604	43676	28516
605	43751	28445
606	43818	28370
607	43910	28310
608	43992	28244
609	44079	28182
610	44157	28113
611	44240	28047
612	44316	27978
613	44394	27909
614	44472	27840
615	44553	27773
616	44639	27709
617	44715	27639
618	44792	27569
619	44873	27503
620	44947	27431
621	45029	27365
622	45110	27298
623	45189	27229
624	45273	27163
625	45350	27094
626	45431	27027
627	45509	26957
628	45602	26897
629	45673	26824
630	45745	26751
631	45822	26681
632	45916	26621
633	45983	26545
634	46053	26471
635	46125	26398
636	46213	26335
637	46287	26263
638	46359	26190
639	46435	26119
640	46520	26054
641	46594	25982
642	46662	25907
643	46735	25835
644	46813	25765
645	46886	25693
646	46971	25627
647	47048	25556
648	47129	25489
649	47233	25433
650	47323	25369
651	47394	25296
652	47450	25214
653	47527	25144
654	47613	25078
655	47683	25004
656	47765	24936
657	47838	24864
658	47915	24794
659	47993	24723
660	48067	24652
661	48144	24581
662	48216	24508
663	48283	24432
664	48365	24364
665	48444	24295
666	48516	24221
667	48586	24147
668	48665	24077
669	48746	24009
670	48823	23939
671	48899	23867
672	48978	23797
673	49063	23730
674	49147	23663
675	49232	23596
676	49319	23530
677	49389	23456
678	49474	23389
679	49542	23314
680	49611	23239
681	49689	23169
682	49772	23100
683	49858	23033
684	49928	22959
685	49997	22885
686	50075	22814
687	50149	22742
688	50215	22666
689	50280	22589
690	50361	22520
691	50459	22458
692	50549	22393
693	50627	22322
694	50699	22249
695	50773	22177
696	50857	22108
697	50938	22039
698	51020	21970
699	51093	21897
700	51170	21825
701	51250	21755
702	51330	21685
703	51396	21609
704	51475	21539
705	51544	21464
706	51625	21394
707	51707	21325
708	51778	21251
709	51836	21172
710	51921	21104
711	51996	21032
712	52072	20960
713	52139	20884
714	52218	20814
715	52298	20743
716	52372	20671
717	52447	20599
718	52544	20535
719	52629	20466
720	52707	20395
721	52783	20323
722	52865	20254
723	52941	20182
724	53022	20111
725	53101	20041
726	53199	19977
727	53275	19905
728	53369	19839
729	53454	19770
730	53539	19701
731	53617	19630
732	53696	19559
733	53779	19489
734	53862	19419
735	53942	19349
736	54020	19277
737	54101	19206
738	54184	19136
739	54249	19060
740	54329	18989
741	54402	18916
742	54480	18844
743	54555	18771
744	54631	18699
745	54683	18618
746	54757	18545
747	54828	18471
748	54903	18398
749	54981	18327
750	55049	18252
751	55128	18180
752	55209	18109
753	55294	18040
754	55372	17968
755	55460	17899
756	55543	17829
757	55629	17760
758	55697	17685
759	55777	17614
760	55845	17538
761	55926	17467
762	55987	17390
763	56052	17314
764	56134	17243
765	56212	17171
766	56280	17096
767	56366	17027
768	56433	16952
769	56519	16882
770	56598	16810
771	56671	16737
772	56753	16666
773	56826	16592
774	56897	16518
775	56964	16443
776	57061	16376
777	57128	16301
778	57204	16228
779	57291	16159
780	57382	16090
781	57462	16018
782	57540	15946
783	57621	15875
784	57690	15800
785	57752	15724
786	57830	15651
787	57910	15580
788	57993	15509
789	58077	15438
790	58141	15362
791	58217	15289
792	58289	15215
793	58367	15143
794	58441	15069
795	58516	14996
796	58591	14923
797	58673	14852
798	58758	14781
799	58838	14709
800	58924	14639
801	58998	14565
802	59080	14494
803	59160	14422
804	59235	14348
805	59318	14277
806	59391	14203
807	59475	14132
808	59560	14061
809	59649	13991
810	59731	13920
811	59795	13844
812	59876	13772
813	59956	13700
814	60044	13629
815	60107	13553
816	60204	13485
817	60294	13415
818	60377	13343
819	60462	13272
820	60538	13199
821	60615	13125
822	60693	13053
823	60768	12979
824	60842	12906
825	60925	12834
826	61011	12763
827	61092	12690
828	61176	12619
829	61252	12545
830	61331	12473
831	61411	12400
832	61483	12326
833	61556	12252
834	61635	12179
835	61711	12106
836	61788	12032
837	61863	11959
838	61944	11886
839	62013	11812
840	62099	11740
841	62183	11668
842	62257	11594
843	62334	11521
844	62412	11448
845	62482	11373
846	62564	11301
847	62646	11229
848	62716	11154
849	62780	11078
850	62853	11004
851	62928	10931
852	63011	10858
853	63068	10782
854	63148	10709
855	63217	10634
856	63302	10562
857	63353	10485
858	63427	10411
859	63500	10337
860	63567	10262
861	63635	10187
862	63726	10116
863	63799	10042
864	63890	9971
865	63971	9898
866	64042	9824
867	64116	9750
868	64187	9676
869	64272	9603
870	64348	9530
871	64416	9455
872	64486	9381
873	64574	9309
874	64652	9236
875	64725	9162
876	64795	9087
877	64867	9013
878	64946	8940
879	65029	8867
880	65128	8797
881	65199	8722
882	65278	8649
883	65358	8576
884	65429	8502
885	65506	8428
886	65588	8355
887	65661	8281
888	65753	8209
889	65815	8134
890	65892	8060
891	65965	7986
892	66029	7911
893	66114	7839
894	66187	7764
895	66267	7691
896	66346	7618
897	66426	7545
898	66511	7472
899	66584	7398
900	66667	7325
901	66761	7253
902	66823	7178
903	66893	7103
904	66974	7030
905	67047	6956
906	67135	6883
907	67226	6811
908	67299	6737
909	67382	6664
910	67471	6591
911	67529	6516
912	67596	6441
913	67683	6368
914	67761	6294
915	67834	6220
916	67924	6147
917	68001	6074
918	68096	6001
919	68180	5928
920	68274	5856
921	68361	5783
922	68441	5709
923	68519	5635
924	68600	5562
925	68682	5488
926	68765	5415
927	68854	5342
928	68931	5268
929	69008	5194
930	69092	5120
931	69175	5047
932	69269	4974
933	69342	4900
934	69416	4825
935	69492	4751
936	69575	4677
937	69658	4604
938	69733	4530
939	69806	4455
940	69889	4382
941	69960	4307
942	70021	4232
943	70092	4158
944	70179	4084
945	70258	4010
946	70333	3936
947	70405	3861
948	70478	3787
949	70569	3714
950	70652	3640
951	70722	3565
952	70805	3491
953	70881	3417
954	70959	3343
955	71049	3270
956	71142	3196
957	71204	3121
958	71282	3047
959	71356	2973
960	71432	2898
961	71507	2824
962	71588	2750
963	71664	2676
964	71744	2602
965	71826	2528
966	71904	2453
967	71980	2379
968	72050	2305
969	72129	2230
970	72195	2156
971	72277	2082
972	72358	2007
973	72438	1933
974	72526	1859
975	72588	1784
976	72658	1710
977	72730	1636
978	72800	1561
979	72874	1487
980	72960	1413
981	73047	1338
982	73129	1264
983	73209	1190
984	73274	1115
985	73355	1041
986	73427	967
987	73500	892
988	73581	818
989	73664	744
990	73733	669
991	73797	595
992	73866	520
993	73925	446
994	73979	371
995	74017	297
996	74054	222
997	74089	148
998	74126	74
999	74159	0
3	0
